"","participant","rt","accuracy","item","task","control","AgeGroup","rawrt","condition"
"1091",23,7.61874237767041,1,"cup","Size","incon","Younger",2036,"23incon"
"1092",23,7.90248743716286,1,"tribe","Size","incon","Younger",2704,"23incon"
"1093",23,8.02387999273488,1,"highlighter","Colour","incon","Younger",3053,"23incon"
"1094",23,8.45977592054629,1,"paper","Colour","incon","Younger",4721,"23incon"
"1095",23,8.70018119275335,1,"lion","Colour","incon","Younger",6004,"23incon"
"1096",23,8.33926198292358,1,"pencil","Size","incon","Younger",4185,"23incon"
"1097",23,8.07713663853845,1,"theatre","Size","incon","Younger",3220,"23incon"
"1099",23,8.94324493313279,1,"blackboard","Colour","incon","Younger",7656,"23incon"
"1100",23,8.12622252945853,1,"bread","Colour","incon","Younger",3382,"23incon"
"1101",23,7.90137735379262,1,"dove","Colour","incon","Younger",2701,"23incon"
"1102",23,8.34711636103872,1,"stool","Size","incon","Younger",4218,"23incon"
"1103",23,9.04014499498007,1,"chair","Size","incon","Younger",8435,"23incon"
"1104",23,8.04494704961772,1,"box","Size","incon","Younger",3118,"23incon"
"1105",24,7.52175102123664,1,"ham","Colour","cong","Younger",1847.8,"24cong"
"1106",24,7.69553058862086,1,"blood","Colour","cong","Younger",2198.5,"24cong"
"1107",24,7.64190043857615,1,"broccoli","Colour","cong","Younger",2083.7,"24cong"
"1108",24,8.463813511513,1,"hammer","Size","cong","Younger",4740.1,"24cong"
"1109",24,7.42529829049565,1,"orange","Size","cong","Younger",1677.9,"24cong"
"1110",24,8.29157157222649,1,"mouth","Size","cong","Younger",3990.1,"24cong"
"1111",24,8.13657678127746,1,"coffee","Colour","cong","Younger",3417.2,"24cong"
"1112",24,8.03964114441317,1,"ketchup","Colour","cong","Younger",3101.5,"24cong"
"1113",24,7.87720755897052,1,"rhino","Colour","cong","Younger",2636.5,"24cong"
"1114",24,7.53790941021416,1,"wasp","Size","cong","Younger",1877.9,"24cong"
"1115",24,7.41788065763373,1,"goose","Size","cong","Younger",1665.5,"24cong"
"1116",24,7.56992765524265,1,"donkey","Size","cong","Younger",1939,"24cong"
"1118",24,8.47035312457042,1,"gin","Colour","cong","Younger",4771.2,"24cong"
"1119",24,7.80196398771009,1,"grass","Colour","cong","Younger",2445.4,"24cong"
"1120",24,8.26785965701179,1,"window","Size","cong","Younger",3896.6,"24cong"
"1121",24,7.42326989223426,1,"pen","Size","cong","Younger",1674.5,"24cong"
"1122",24,7.60499407744534,1,"mop","Size","cong","Younger",2008.2,"24cong"
"1123",24,8.09150496761904,1,"snow","Colour","cong","Younger",3266.6,"24cong"
"1124",24,7.79950738640914,1,"butter","Colour","cong","Younger",2439.4,"24cong"
"1125",24,8.30652154159735,1,"oregano","Colour","cong","Younger",4050.2,"24cong"
"1126",24,7.52380540915712,1,"fork","Size","cong","Younger",1851.6,"24cong"
"1127",24,7.87883718053898,1,"doctor","Size","cong","Younger",2640.8,"24cong"
"1128",24,7.81734359979662,1,"dancer","Size","cong","Younger",2483.3,"24cong"
"1129",24,7.88295622273501,1,"rice","Colour","incon","Younger",2651.7,"24incon"
"1130",24,8.03589400690857,1,"tar","Colour","incon","Younger",3089.9,"24incon"
"1131",24,7.82128219503356,1,"trumpet","Colour","incon","Younger",2493.1,"24incon"
"1132",24,8.53133275496996,1,"diary","Size","incon","Younger",5071.2,"24incon"
"1133",24,7.94590959861313,1,"gun","Size","incon","Younger",2824,"24incon"
"1134",24,8.43860442625584,1,"football","Size","incon","Younger",4622.1,"24incon"
"1135",24,8.25028059896932,1,"cranberry","Colour","incon","Younger",3828.7,"24incon"
"1136",24,7.78205666858403,1,"cloud","Colour","incon","Younger",2397.2,"24incon"
"1137",24,8.03825375651257,1,"chalk","Colour","incon","Younger",3097.2,"24incon"
"1138",24,7.65401659519157,1,"handbag","Size","incon","Younger",2109.1,"24incon"
"1139",24,7.76131918094799,1,"cup","Size","incon","Younger",2348,"24incon"
"1140",24,8.03138533062553,1,"tribe","Size","incon","Younger",3076,"24incon"
"1141",24,7.8513109220043,1,"highlighter","Colour","incon","Younger",2569.1,"24incon"
"1142",24,8.3192786941478,1,"paper","Colour","incon","Younger",4102.2,"24incon"
"1143",24,8.12133181945077,1,"lion","Colour","incon","Younger",3365.5,"24incon"
"1144",24,8.5551053564861,1,"pencil","Size","incon","Younger",5193.2,"24incon"
"1145",24,8.06306291132679,1,"theatre","Size","incon","Younger",3175,"24incon"
"1146",24,8.33643840659381,1,"lighter","Size","incon","Younger",4173.2,"24incon"
"1147",24,7.80016307039296,1,"blackboard","Colour","incon","Younger",2441,"24incon"
"1148",24,8.49864218052136,1,"bread","Colour","incon","Younger",4908.1,"24incon"
"1149",24,8.08388401007807,1,"dove","Colour","incon","Younger",3241.8,"24incon"
"1150",24,8.37655086161377,1,"stool","Size","incon","Younger",4344,"24incon"
"1151",24,7.89252675122649,1,"chair","Size","incon","Younger",2677.2,"24incon"
"1152",24,8.44942813728154,1,"box","Size","incon","Younger",4672.4,"24incon"
"1153",25,7.29681996572252,1,"ham","Colour","cong","Older",1475.6,"25cong"
"1154",25,7.2533288298497,1,"blood","Colour","cong","Older",1412.8,"25cong"
"1155",25,7.37054545370957,1,"broccoli","Colour","cong","Older",1588.5,"25cong"
"1156",25,7.98884833143131,1,"hammer","Size","cong","Older",2947.9,"25cong"
"1157",25,7.57819662200644,1,"orange","Size","cong","Older",1955.1,"25cong"
"1158",25,7.7377907116042,1,"mouth","Size","cong","Older",2293.4,"25cong"
"1159",25,7.95567058666059,1,"coffee","Colour","cong","Older",2851.7,"25cong"
"1160",25,7.85779021682045,1,"ketchup","Colour","cong","Older",2585.8,"25cong"
"1161",25,7.69402843753157,1,"rhino","Colour","cong","Older",2195.2,"25cong"
"1162",25,7.5624214727238,1,"wasp","Size","cong","Older",1924.5,"25cong"
"1163",25,7.26311936412077,1,"goose","Size","cong","Older",1426.7,"25cong"
"1164",25,7.50659178007084,1,"donkey","Size","cong","Older",1820,"25cong"
"1165",25,7.93826715494632,1,"sunflower","Colour","cong","Older",2802.5,"25cong"
"1166",25,8.22708150317023,1,"gin","Colour","cong","Older",3740.9,"25cong"
"1167",25,7.70201396091049,1,"grass","Colour","cong","Older",2212.8,"25cong"
"1168",25,8.10164744396512,1,"window","Size","cong","Older",3299.9,"25cong"
"1169",25,7.69789304485571,1,"pen","Size","cong","Older",2203.7,"25cong"
"1170",25,8.43074165768512,1,"mop","Size","cong","Older",4585.9,"25cong"
"1171",25,7.52364337399513,1,"snow","Colour","cong","Older",1851.3,"25cong"
"1172",25,7.9724315326214,1,"butter","Colour","cong","Older",2899.9,"25cong"
"1173",25,8.36070311065655,1,"oregano","Colour","cong","Older",4275.7,"25cong"
"1174",25,8.20494516501921,1,"fork","Size","cong","Older",3659,"25cong"
"1175",25,7.6168250200859,1,"doctor","Size","cong","Older",2032.1,"25cong"
"1176",25,7.56397910543748,1,"dancer","Size","cong","Older",1927.5,"25cong"
"1179",25,8.13695713735385,1,"trumpet","Colour","incon","Older",3418.5,"25incon"
"1180",25,8.2604411489282,1,"diary","Size","incon","Older",3867.8,"25incon"
"1181",25,7.88001037877372,1,"gun","Size","incon","Older",2643.9,"25incon"
"1182",25,7.78484769745213,1,"football","Size","incon","Older",2403.9,"25incon"
"1183",25,7.81411687977841,1,"cranberry","Colour","incon","Older",2475.3,"25incon"
"1184",25,7.88889698317591,1,"cloud","Colour","incon","Older",2667.5,"25incon"
"1185",25,8.24858145205488,1,"chalk","Colour","incon","Older",3822.2,"25incon"
"1186",25,7.49365126879511,1,"handbag","Size","incon","Older",1796.6,"25incon"
"1187",25,7.35045194369563,1,"cup","Size","incon","Older",1556.9,"25incon"
"1188",25,8.56170756072288,1,"tribe","Size","incon","Older",5227.6,"25incon"
"1193",25,8.56166930151675,1,"theatre","Size","incon","Older",5227.4,"25incon"
"1194",25,8.17616659944531,1,"lighter","Size","incon","Older",3555.2,"25incon"
"1195",25,8.5493118212977,1,"blackboard","Colour","incon","Older",5163.2,"25incon"
"1196",25,8.15808672228609,1,"bread","Colour","incon","Older",3491.5,"25incon"
"1197",25,7.88893447075815,1,"dove","Colour","incon","Older",2667.6,"25incon"
"1198",25,8.2604670030849,1,"stool","Size","incon","Older",3867.9,"25incon"
"1199",25,8.41194378069714,1,"chair","Size","incon","Older",4500.5,"25incon"
"1200",25,8.6355804889141,1,"box","Size","incon","Older",5628.4,"25incon"
"1201",26,7.94887968777762,1,"ham","Colour","cong","Younger",2832.4,"26cong"
"1202",26,7.75396683526892,1,"blood","Colour","cong","Younger",2330.8,"26cong"
"1203",26,7.86978390253015,1,"broccoli","Colour","cong","Younger",2617,"26cong"
"1204",26,8.1896331231816,1,"hammer","Size","cong","Younger",3603.4,"26cong"
"1205",26,7.38746168368926,1,"orange","Size","cong","Younger",1615.6,"26cong"
"1206",26,7.44605987373641,1,"mouth","Size","cong","Younger",1713.1,"26cong"
"1207",26,7.79835890392031,1,"coffee","Colour","cong","Younger",2436.6,"26cong"
"1208",26,7.55752511957251,1,"ketchup","Colour","cong","Younger",1915.1,"26cong"
"1209",26,7.63104361645407,1,"rhino","Colour","cong","Younger",2061.2,"26cong"
"1210",26,7.15054458254318,1,"wasp","Size","cong","Younger",1274.8,"26cong"
"1211",26,6.95920856057105,1,"goose","Size","cong","Younger",1052.8,"26cong"
"1212",26,7.29294965024794,1,"donkey","Size","cong","Younger",1469.9,"26cong"
"1214",26,8.01809849052595,1,"gin","Colour","cong","Younger",3035.4,"26cong"
"1215",26,7.99203196888288,1,"grass","Colour","cong","Younger",2957.3,"26cong"
"1216",26,8.22147894726719,1,"window","Size","cong","Younger",3720,"26cong"
"1217",26,7.53551024077503,1,"pen","Size","cong","Younger",1873.4,"26cong"
"1218",26,7.37850862711842,1,"mop","Size","cong","Younger",1601.2,"26cong"
"1219",26,7.35276156171083,1,"snow","Colour","cong","Younger",1560.5,"26cong"
"1220",26,7.72744700086704,1,"butter","Colour","cong","Younger",2269.8,"26cong"
"1221",26,7.92963050142986,1,"oregano","Colour","cong","Younger",2778.4,"26cong"
"1222",26,7.97356885589886,1,"fork","Size","cong","Younger",2903.2,"26cong"
"1223",26,7.76336138723979,1,"doctor","Size","cong","Younger",2352.8,"26cong"
"1224",26,8.14853241783012,1,"dancer","Size","cong","Younger",3458.3,"26cong"
"1225",26,8.07757132665658,1,"rice","Colour","incon","Younger",3221.4,"26incon"
"1226",26,8.34695039183748,1,"tar","Colour","incon","Younger",4217.3,"26incon"
"1227",26,8.26258477247145,1,"trumpet","Colour","incon","Younger",3876.1,"26incon"
"1229",26,8.29414963510236,1,"gun","Size","incon","Younger",4000.4,"26incon"
"1230",26,8.10149591274182,1,"football","Size","incon","Younger",3299.4,"26incon"
"1232",26,7.51289058221887,1,"cloud","Colour","incon","Younger",1831.5,"26incon"
"1234",26,7.6603499181855,1,"handbag","Size","incon","Younger",2122.5,"26incon"
"1235",26,8.54049947764647,1,"cup","Size","incon","Younger",5117.9,"26incon"
"1236",26,7.37500512003125,1,"tribe","Size","incon","Younger",1595.6,"26incon"
"1237",26,7.86951638490105,1,"highlighter","Colour","incon","Younger",2616.3,"26incon"
"1238",26,8.35146913096951,1,"paper","Colour","incon","Younger",4236.4,"26incon"
"1239",26,7.95875171370858,1,"lion","Colour","incon","Younger",2860.5,"26incon"
"1240",26,7.92135419332329,1,"pencil","Size","incon","Younger",2755.5,"26incon"
"1241",26,7.87485318710756,1,"theatre","Size","incon","Younger",2630.3,"26incon"
"1243",26,8.3948899550281,1,"blackboard","Colour","incon","Younger",4424.4,"26incon"
"1244",26,7.79544075384596,1,"bread","Colour","incon","Younger",2429.5,"26incon"
"1245",26,7.70092877360921,1,"dove","Colour","incon","Younger",2210.4,"26incon"
"1247",26,8.20721097546949,1,"chair","Size","incon","Younger",3667.3,"26incon"
"1248",26,8.32088629405559,1,"box","Size","incon","Younger",4108.8,"26incon"
"1249",27,8.27021790684868,1,"ham","Colour","cong","Older",3905.8,"27cong"
"1250",27,8.147027657295,1,"blood","Colour","cong","Older",3453.1,"27cong"
"1251",27,7.58654995331768,1,"broccoli","Colour","cong","Older",1971.5,"27cong"
"1252",27,7.69115441351911,1,"hammer","Size","cong","Older",2188.9,"27cong"
"1253",27,7.49726268478232,1,"orange","Size","cong","Older",1803.1,"27cong"
"1254",27,8.27540184572954,1,"mouth","Size","cong","Older",3926.1,"27cong"
"1255",27,7.94303720528375,1,"coffee","Colour","cong","Older",2815.9,"27cong"
"1256",27,8.29804166137157,1,"ketchup","Colour","cong","Older",4016,"27cong"
"1257",27,8.15877386979215,1,"rhino","Colour","cong","Older",3493.9,"27cong"
"1258",27,7.62095015484586,1,"wasp","Size","cong","Older",2040.5,"27cong"
"1259",27,7.45013770765235,1,"goose","Size","cong","Older",1720.1,"27cong"
"1260",27,7.66293785046154,1,"donkey","Size","cong","Older",2128,"27cong"
"1261",27,7.66570657040758,1,"sunflower","Colour","cong","Older",2133.9,"27cong"
"1262",27,8.09443949317053,1,"gin","Colour","cong","Older",3276.2,"27cong"
"1263",27,8.08360634799105,1,"grass","Colour","cong","Older",3240.9,"27cong"
"1264",27,8.27440799984674,1,"window","Size","cong","Older",3922.2,"27cong"
"1265",27,7.59075110848571,1,"pen","Size","cong","Older",1979.8,"27cong"
"1266",27,7.71797413112792,1,"mop","Size","cong","Older",2248.4,"27cong"
"1267",27,8.03770472295929,1,"snow","Colour","cong","Older",3095.5,"27cong"
"1268",27,8.33180293096382,1,"butter","Colour","cong","Older",4153.9,"27cong"
"1269",27,8.16590371975384,1,"oregano","Colour","cong","Older",3518.9,"27cong"
"1270",27,7.62978141909246,1,"fork","Size","cong","Older",2058.6,"27cong"
"1271",27,8.04894801518537,1,"doctor","Size","cong","Older",3130.5,"27cong"
"1272",27,7.92033752717421,1,"dancer","Size","cong","Older",2752.7,"27cong"
"1273",27,7.71324851937362,1,"rice","Colour","incon","Older",2237.8,"27incon"
"1274",27,8.2692957756358,1,"tar","Colour","incon","Older",3902.2,"27incon"
"1275",27,8.28775486953928,1,"trumpet","Colour","incon","Older",3974.9,"27incon"
"1276",27,8.18979961872823,1,"diary","Size","incon","Older",3604,"27incon"
"1278",27,7.80437377505877,1,"football","Size","incon","Older",2451.3,"27incon"
"1279",27,8.6525628933144,1,"cranberry","Colour","incon","Older",5724.8,"27incon"
"1280",27,7.83094217754413,1,"cloud","Colour","incon","Older",2517.3,"27incon"
"1281",27,7.92624152317096,1,"chalk","Colour","incon","Older",2769,"27incon"
"1282",27,7.70854536855744,1,"handbag","Size","incon","Older",2227.3,"27incon"
"1283",27,7.76671346420905,1,"cup","Size","incon","Older",2360.7,"27incon"
"1284",27,7.70868005171551,1,"tribe","Size","incon","Older",2227.6,"27incon"
"1285",27,8.52771761487245,1,"highlighter","Colour","incon","Older",5052.9,"27incon"
"1286",27,8.33696544107886,1,"paper","Colour","incon","Older",4175.4,"27incon"
"1287",27,8.50651639675212,1,"lion","Colour","incon","Older",4946.9,"27incon"
"1288",27,7.90820331886302,1,"pencil","Size","incon","Older",2719.5,"27incon"
"1289",27,8.13792200739055,1,"theatre","Size","incon","Older",3421.8,"27incon"
"1290",27,9.0142038261485,1,"lighter","Size","incon","Older",8219,"27incon"
"1291",27,7.94342776787637,1,"blackboard","Colour","incon","Older",2817,"27incon"
"1292",27,8.81372102451202,1,"bread","Colour","incon","Older",6725.9,"27incon"
"1293",27,8.04080119996814,1,"dove","Colour","incon","Older",3105.1,"27incon"
"1294",27,8.24399242356066,1,"stool","Size","incon","Older",3804.7,"27incon"
"1295",27,7.97944162971099,1,"chair","Size","incon","Older",2920.3,"27incon"
"1296",27,8.23763800617606,1,"box","Size","incon","Older",3780.6,"27incon"
"1297",28,8.59762966770658,1,"ham","Colour","cong","Older",5418.8,"28cong"
"1298",28,8.27631836607171,1,"blood","Colour","cong","Older",3929.7,"28cong"
"1299",28,7.74022952476318,1,"broccoli","Colour","cong","Older",2299,"28cong"
"1300",28,9.06011032972861,1,"hammer","Size","cong","Older",8605.1,"28cong"
"1301",28,7.89476539106894,1,"orange","Size","cong","Older",2683.2,"28cong"
"1302",28,8.30229059000361,1,"mouth","Size","cong","Older",4033.1,"28cong"
"1304",28,8.64424866043842,1,"ketchup","Colour","cong","Older",5677.4,"28cong"
"1305",28,8.12234156056768,1,"rhino","Colour","cong","Older",3368.9,"28cong"
"1306",28,7.81565087006791,1,"wasp","Size","cong","Older",2479.1,"28cong"
"1307",28,8.08846969173087,1,"goose","Size","cong","Older",3256.7,"28cong"
"1308",28,8.36443820382395,1,"donkey","Size","cong","Older",4291.7,"28cong"
"1309",28,8.23190824356418,1,"sunflower","Colour","cong","Older",3759,"28cong"
"1310",28,8.17532240883323,1,"gin","Colour","cong","Older",3552.2,"28cong"
"1311",28,8.0831434064523,1,"grass","Colour","cong","Older",3239.4,"28cong"
"1312",28,8.84902611160331,1,"window","Size","cong","Older",6967.6,"28cong"
"1313",28,8.60772835257948,1,"pen","Size","cong","Older",5473.8,"28cong"
"1314",28,8.36397207940691,1,"mop","Size","cong","Older",4289.7,"28cong"
"1315",28,8.06057162166376,1,"snow","Colour","cong","Older",3167.1,"28cong"
"1316",28,8.94832604627298,1,"butter","Colour","cong","Older",7695,"28cong"
"1317",28,8.82897745829344,1,"oregano","Colour","cong","Older",6829.3,"28cong"
"1318",28,8.2211563145817,1,"fork","Size","cong","Older",3718.8,"28cong"
"1319",28,8.58513217442443,1,"doctor","Size","cong","Older",5351.5,"28cong"
"1320",28,8.25288904659694,1,"dancer","Size","cong","Older",3838.7,"28cong"
"1321",28,8.41949215579254,1,"rice","Colour","incon","Older",4534.6,"28incon"
"1322",28,8.6991646869459,1,"tar","Colour","incon","Older",5997.9,"28incon"
"1323",28,8.85160616635562,1,"trumpet","Colour","incon","Older",6985.6,"28incon"
"1324",28,8.73257872699739,1,"diary","Size","incon","Older",6201.7,"28incon"
"1325",28,8.80586976918363,1,"gun","Size","incon","Older",6673.3,"28incon"
"1326",28,8.39818440483404,1,"football","Size","incon","Older",4439,"28incon"
"1327",28,8.60853185883163,1,"cranberry","Colour","incon","Older",5478.2,"28incon"
"1328",28,7.66453431978686,1,"cloud","Colour","incon","Older",2131.4,"28incon"
"1329",28,8.04600486068875,1,"chalk","Colour","incon","Older",3121.3,"28incon"
"1330",28,7.78268220291498,1,"handbag","Size","incon","Older",2398.7,"28incon"
"1331",28,8.70016453705169,1,"cup","Size","incon","Older",6003.9,"28incon"
"1332",28,8.08736366685546,1,"tribe","Size","incon","Older",3253.1,"28incon"
"1333",28,8.92066965681792,1,"highlighter","Colour","incon","Older",7485.1,"28incon"
"1334",28,8.60210403048663,1,"paper","Colour","incon","Older",5443.1,"28incon"
"1335",28,8.85126254342114,1,"lion","Colour","incon","Older",6983.2,"28incon"
"1336",28,8.0684969391158,1,"pencil","Size","incon","Older",3192.3,"28incon"
"1337",28,8.83481748773973,1,"theatre","Size","incon","Older",6869.3,"28incon"
"1338",28,9.27214077288163,1,"lighter","Size","incon","Older",10637.5,"28incon"
"1339",28,8.44698529637274,1,"blackboard","Colour","incon","Older",4661,"28incon"
"1340",28,8.20341351984258,1,"bread","Colour","incon","Older",3653.4,"28incon"
"1341",28,8.4374137824099,1,"dove","Colour","incon","Older",4616.6,"28incon"
"1342",28,8.62825144409775,1,"stool","Size","incon","Older",5587.3,"28incon"
"1343",28,9.06166633459445,1,"chair","Size","incon","Older",8618.5,"28incon"
"1344",28,8.48762018907387,1,"box","Size","incon","Older",4854.3,"28incon"
"1345",29,7.55197478591866,1,"ham","Colour","cong","Older",1904.5,"29cong"
"1346",29,7.86253568763682,1,"blood","Colour","cong","Older",2598.1,"29cong"
"1347",29,7.97837953111008,1,"broccoli","Colour","cong","Older",2917.2,"29cong"
"1348",29,8.08394570229562,1,"hammer","Size","cong","Older",3242,"29cong"
"1349",29,7.77552780970157,1,"orange","Size","cong","Older",2381.6,"29cong"
"1350",29,8.71382848284965,1,"mouth","Size","cong","Older",6086.5,"29cong"
"1351",29,8.40782465436087,1,"coffee","Colour","cong","Older",4482,"29cong"
"1352",29,8.11210801112636,1,"ketchup","Colour","cong","Older",3334.6,"29cong"
"1353",29,7.6202638130207,1,"rhino","Colour","cong","Older",2039.1,"29cong"
"1354",29,7.59226526614642,1,"wasp","Size","cong","Older",1982.8,"29cong"
"1355",29,8.5290031781756,1,"goose","Size","cong","Older",5059.4,"29cong"
"1356",29,7.68229809774608,1,"donkey","Size","cong","Older",2169.6,"29cong"
"1357",29,7.76127659060321,1,"sunflower","Colour","cong","Older",2347.9,"29cong"
"1358",29,8.25517886571303,1,"gin","Colour","cong","Older",3847.5,"29cong"
"1359",29,7.85002559981524,1,"grass","Colour","cong","Older",2565.8,"29cong"
"1360",29,8.35803331984358,1,"window","Size","cong","Older",4264.3,"29cong"
"1361",29,8.10091988459147,1,"pen","Size","cong","Older",3297.5,"29cong"
"1362",29,7.75297956242243,1,"mop","Size","cong","Older",2328.5,"29cong"
"1363",29,8.51953045787972,1,"snow","Colour","cong","Older",5011.7,"29cong"
"1364",29,8.13783433039255,1,"butter","Colour","cong","Older",3421.5,"29cong"
"1365",29,8.19309606626241,1,"oregano","Colour","cong","Older",3615.9,"29cong"
"1366",29,7.57742910335644,1,"fork","Size","cong","Older",1953.6,"29cong"
"1367",29,7.98837330427797,1,"doctor","Size","cong","Older",2946.5,"29cong"
"1368",29,8.71972578882632,1,"dancer","Size","cong","Older",6122.5,"29cong"
"1369",29,8.32784701968532,1,"rice","Colour","incon","Older",4137.5,"29incon"
"1370",29,8.25577647788053,1,"tar","Colour","incon","Older",3849.8,"29incon"
"1371",29,8.20707462608762,1,"trumpet","Colour","incon","Older",3666.8,"29incon"
"1372",29,8.29244835873505,1,"diary","Size","incon","Older",3993.6,"29incon"
"1373",29,8.86490205996344,1,"gun","Size","incon","Older",7079.1,"29incon"
"1374",29,8.13455554294744,1,"football","Size","incon","Older",3410.3,"29incon"
"1376",29,7.82684209815829,1,"cloud","Colour","incon","Older",2507,"29incon"
"1377",29,7.76658637518301,1,"chalk","Colour","incon","Older",2360.4,"29incon"
"1378",29,8.24017406713271,1,"handbag","Size","incon","Older",3790.2,"29incon"
"1379",29,8.43154815328766,1,"cup","Size","incon","Older",4589.6,"29incon"
"1380",29,8.19784155730343,1,"tribe","Size","incon","Older",3633.1,"29incon"
"1381",29,8.81870420180446,1,"highlighter","Colour","incon","Older",6759.5,"29incon"
"1382",29,8.23940864314285,1,"paper","Colour","incon","Older",3787.3,"29incon"
"1383",29,8.75963728321782,1,"lion","Colour","incon","Older",6371.8,"29incon"
"1384",29,8.08091829891454,1,"pencil","Size","incon","Older",3232.2,"29incon"
"1385",29,8.48189756502151,1,"theatre","Size","incon","Older",4826.6,"29incon"
"1386",29,8.18704889110778,1,"lighter","Size","incon","Older",3594.1,"29incon"
"1387",29,8.23028415342964,1,"blackboard","Colour","incon","Older",3752.9,"29incon"
"1389",29,8.73512317567756,1,"dove","Colour","incon","Older",6217.5,"29incon"
"1390",29,8.58101270412919,1,"stool","Size","incon","Older",5329.5,"29incon"
"1391",29,8.63422928151156,1,"chair","Size","incon","Older",5620.8,"29incon"
"1392",29,8.28853445941392,1,"box","Size","incon","Older",3978,"29incon"
"1393",30,8.46436187277025,1,"ham","Colour","cong","Older",4742.7,"30cong"
"1394",30,7.90510973557602,1,"blood","Colour","cong","Older",2711.1,"30cong"
"1395",30,7.87241703958169,1,"broccoli","Colour","cong","Older",2623.9,"30cong"
"1396",30,8.00379760144761,1,"hammer","Size","cong","Older",2992.3,"30cong"
"1397",30,7.54639347404169,1,"orange","Size","cong","Older",1893.9,"30cong"
"1398",30,7.98708280623838,1,"mouth","Size","cong","Older",2942.7,"30cong"
"1400",30,8.21470876941662,1,"ketchup","Colour","cong","Older",3694.9,"30cong"
"1401",30,8.09443949317053,1,"rhino","Colour","cong","Older",3276.2,"30cong"
"1402",30,7.74500280351584,1,"wasp","Size","cong","Older",2310,"30cong"
"1403",30,7.80799792643468,1,"goose","Size","cong","Older",2460.2,"30cong"
"1404",30,7.75147531802146,1,"donkey","Size","cong","Older",2325,"30cong"
"1405",30,8.04244231178724,1,"sunflower","Colour","cong","Older",3110.2,"30cong"
"1406",30,7.82827704738411,1,"gin","Colour","cong","Older",2510.6,"30cong"
"1407",30,8.10482430699128,1,"grass","Colour","cong","Older",3310.4,"30cong"
"1408",30,8.45761302396739,1,"window","Size","cong","Older",4710.8,"30cong"
"1409",30,8.13464350787881,1,"pen","Size","cong","Older",3410.6,"30cong"
"1410",30,7.78080442481727,1,"mop","Size","cong","Older",2394.2,"30cong"
"1411",30,7.98698085385006,1,"snow","Colour","cong","Older",2942.4,"30cong"
"1412",30,8.10013109746241,1,"butter","Colour","cong","Older",3294.9,"30cong"
"1413",30,8.02017184862664,1,"oregano","Colour","cong","Older",3041.7,"30cong"
"1414",30,7.89192893324425,1,"fork","Size","cong","Older",2675.6,"30cong"
"1415",30,7.94746645973009,1,"doctor","Size","cong","Older",2828.4,"30cong"
"1416",30,8.06865355373452,1,"dancer","Size","cong","Older",3192.8,"30cong"
"1418",30,8.06981174020678,1,"tar","Colour","incon","Older",3196.5,"30incon"
"1419",30,8.41757173138466,1,"trumpet","Colour","incon","Older",4525.9,"30incon"
"1420",30,8.58664462441445,1,"diary","Size","incon","Older",5359.6,"30incon"
"1421",30,8.09508027433518,1,"gun","Size","incon","Older",3278.3,"30incon"
"1422",30,8.02063201166395,1,"football","Size","incon","Older",3043.1,"30incon"
"1423",30,7.54676301344143,1,"cranberry","Colour","incon","Older",1894.6,"30incon"
"1424",30,8.7365054125494,1,"cloud","Colour","incon","Older",6226.1,"30incon"
"1425",30,8.23230720626646,1,"chalk","Colour","incon","Older",3760.5,"30incon"
"1426",30,8.18749396608245,1,"handbag","Size","incon","Older",3595.7,"30incon"
"1427",30,8.23657941294748,1,"cup","Size","incon","Older",3776.6,"30incon"
"1428",30,7.4737506738816,1,"tribe","Size","incon","Older",1761.2,"30incon"
"1429",30,8.75245501892069,1,"highlighter","Colour","incon","Older",6326.2,"30incon"
"1431",30,9.28801412203792,1,"lion","Colour","incon","Older",10807.7,"30incon"
"1432",30,8.08450076105359,1,"pencil","Size","incon","Older",3243.8,"30incon"
"1433",30,8.2413606353216,1,"theatre","Size","incon","Older",3794.7,"30incon"
"1436",30,8.4142741374084,1,"bread","Colour","incon","Older",4511,"30incon"
"1437",30,8.2965963943686,1,"dove","Colour","incon","Older",4010.2,"30incon"
"1439",30,9.10808613793743,1,"chair","Size","incon","Older",9028,"30incon"
"1440",30,9.16697347527097,1,"box","Size","incon","Older",9575.6,"30incon"
"1441",31,8.34045601291618,1,"ham","Colour","cong","Older",4190,"31cong"
"1442",31,8.10361526319752,1,"blood","Colour","cong","Older",3306.4,"31cong"
"1443",31,8.25520485627846,1,"broccoli","Colour","cong","Older",3847.6,"31cong"
"1445",31,7.74274918377032,1,"orange","Size","cong","Older",2304.8,"31cong"
"1446",31,8.44399864811318,1,"mouth","Size","cong","Older",4647.1,"31cong"
"1447",31,8.25730785187392,1,"coffee","Colour","cong","Older",3855.7,"31cong"
"1448",31,8.42744352327256,1,"ketchup","Colour","cong","Older",4570.8,"31cong"
"1449",31,7.94884438140658,1,"rhino","Colour","cong","Older",2832.3,"31cong"
"1450",31,7.76531459579247,1,"wasp","Size","cong","Older",2357.4,"31cong"
"1451",31,7.55144957582255,1,"goose","Size","cong","Older",1903.5,"31cong"
"1452",31,8.56419127457682,1,"donkey","Size","cong","Older",5240.6,"31cong"
"1453",31,9.06029624869172,1,"sunflower","Colour","cong","Older",8606.7,"31cong"
"1454",31,7.97322434905699,1,"gin","Colour","cong","Older",2902.2,"31cong"
