"","participant","rt","accuracy","item","task","control","AgeGroup","rawrt","condition"
"95",2,7.99020600363071,1,"chair","Size","incon","Younger",2951.905,"2incon"
"97",3,7.38330599465699,1,"ham","Colour","cong","Younger",1608.9,"3cong"
"98",3,8.055062489189,1,"blood","Colour","cong","Younger",3149.7,"3cong"
"99",3,7.39166181339686,1,"broccoli","Colour","cong","Younger",1622.4,"3cong"
"100",3,7.89013333198371,1,"hammer","Size","cong","Younger",2670.8,"3cong"
"101",3,7.51496323486443,1,"orange","Size","cong","Younger",1835.3,"3cong"
"102",3,7.85344946122553,1,"mouth","Size","cong","Younger",2574.6,"3cong"
"103",3,7.55276208421415,1,"coffee","Colour","cong","Younger",1906,"3cong"
"105",3,8.41695287845298,1,"rhino","Colour","cong","Younger",4523.1,"3cong"
"106",3,7.21861662438132,1,"wasp","Size","cong","Younger",1364.6,"3cong"
"107",3,8.22817689595132,1,"goose","Size","cong","Younger",3745,"3cong"
"108",3,7.47033808952097,1,"donkey","Size","cong","Younger",1755.2,"3cong"
"109",3,8.00636756765025,1,"sunflower","Colour","cong","Younger",3000,"3cong"
"110",3,8.33574325465116,1,"gin","Colour","cong","Younger",4170.3,"3cong"
"111",3,7.86161150874243,1,"grass","Colour","cong","Younger",2595.7,"3cong"
"112",3,7.94633443753477,1,"window","Size","cong","Younger",2825.2,"3cong"
"113",3,7.4673139224277,1,"pen","Size","cong","Younger",1749.9,"3cong"
"114",3,7.64002701422613,1,"mop","Size","cong","Younger",2079.8,"3cong"
"115",3,7.51501772038491,1,"snow","Colour","cong","Younger",1835.4,"3cong"
"116",3,8.42068229103539,1,"butter","Colour","cong","Younger",4540,"3cong"
"117",3,7.49504181884257,1,"oregano","Colour","cong","Younger",1799.1,"3cong"
"118",3,7.89933899489172,1,"fork","Size","cong","Younger",2695.5,"3cong"
"120",3,8.14885044260982,1,"dancer","Size","cong","Younger",3459.4,"3cong"
"121",3,7.77741551292798,1,"rice","Colour","incon","Younger",2386.1,"3incon"
"122",3,7.93830283673612,1,"tar","Colour","incon","Younger",2802.6,"3incon"
"123",3,7.96835412545203,1,"trumpet","Colour","incon","Younger",2888.1,"3incon"
"124",3,8.05490373131031,1,"diary","Size","incon","Younger",3149.2,"3incon"
"125",3,7.79469958606106,1,"gun","Size","incon","Younger",2427.7,"3incon"
"126",3,7.99877212852842,1,"football","Size","incon","Younger",2977.3,"3incon"
"127",3,8.16661391679234,1,"cranberry","Colour","incon","Younger",3521.4,"3incon"
"128",3,7.75255000915122,1,"cloud","Colour","incon","Younger",2327.5,"3incon"
"129",3,8.05978194428488,1,"chalk","Colour","incon","Younger",3164.6,"3incon"
"130",3,7.48380668766583,1,"handbag","Size","incon","Younger",1779,"3incon"
"132",3,8.28710055101382,1,"tribe","Size","incon","Younger",3972.3,"3incon"
"133",3,8.59700202558965,1,"highlighter","Colour","incon","Younger",5415.4,"3incon"
"135",3,8.72907355045174,1,"lion","Colour","incon","Younger",6180,"3incon"
"137",3,8.02809644311381,1,"theatre","Size","incon","Younger",3065.9,"3incon"
"139",3,8.52623221606691,1,"blackboard","Colour","incon","Younger",5045.4,"3incon"
"140",3,8.62524009549937,1,"bread","Colour","incon","Younger",5570.5,"3incon"
"141",3,7.69247840302929,1,"dove","Colour","incon","Younger",2191.8,"3incon"
"143",3,7.76153210546705,1,"chair","Size","incon","Younger",2348.5,"3incon"
"144",3,7.90706275323964,1,"box","Size","incon","Younger",2716.4,"3incon"
"145",4,7.83984061675493,1,"ham","Colour","cong","Younger",2539.8,"4cong"
"146",4,7.90422409398154,1,"blood","Colour","cong","Younger",2708.7,"4cong"
"147",4,7.4356739801743,1,"broccoli","Colour","cong","Younger",1695.4,"4cong"
"149",4,7.28598621413653,1,"orange","Size","cong","Younger",1459.7,"4cong"
"150",4,7.97401653743259,1,"mouth","Size","cong","Younger",2904.5,"4cong"
"151",4,8.18202810010823,1,"coffee","Colour","cong","Younger",3576.1,"4cong"
"152",4,7.41667909545853,1,"ketchup","Colour","cong","Younger",1663.5,"4cong"
"153",4,8.27147166508878,1,"rhino","Colour","cong","Younger",3910.7,"4cong"
"154",4,7.41191875987458,1,"wasp","Size","cong","Younger",1655.6,"4cong"
"155",4,8.04398443122155,1,"goose","Size","cong","Younger",3115,"4cong"
"156",4,8.0524875032638,1,"donkey","Size","cong","Younger",3141.6,"4cong"
"157",4,8.95415696658377,1,"sunflower","Colour","cong","Younger",7740,"4cong"
"158",4,8.5174531576221,1,"gin","Colour","cong","Younger",5001.3,"4cong"
"159",4,9.03818694409785,1,"grass","Colour","cong","Younger",8418.5,"4cong"
"160",4,8.15173694732731,1,"window","Size","cong","Younger",3469.4,"4cong"
"161",4,8.19276414359734,1,"pen","Size","cong","Younger",3614.7,"4cong"
"162",4,7.71850770161635,1,"mop","Size","cong","Younger",2249.6,"4cong"
"163",4,8.13716188456488,1,"snow","Colour","cong","Younger",3419.2,"4cong"
"164",4,8.25314951752986,1,"butter","Colour","cong","Younger",3839.7,"4cong"
"165",4,8.03145034801771,1,"oregano","Colour","cong","Younger",3076.2,"4cong"
"166",4,7.86111055499311,1,"fork","Size","cong","Younger",2594.4,"4cong"
"167",4,8.17546315676798,1,"doctor","Size","cong","Younger",3552.7,"4cong"
"168",4,7.70169756957698,1,"dancer","Size","cong","Younger",2212.1,"4cong"
"169",4,8.00158950419715,1,"rice","Colour","incon","Younger",2985.7,"4incon"
"170",4,8.02322468471667,1,"tar","Colour","incon","Younger",3051,"4incon"
"171",4,8.17900348078051,1,"trumpet","Colour","incon","Younger",3565.3,"4incon"
"172",4,7.9280816492517,1,"diary","Size","incon","Younger",2774.1,"4incon"
"173",4,8.12521670148863,1,"gun","Size","incon","Younger",3378.6,"4incon"
"174",4,8.60632066123468,1,"football","Size","incon","Younger",5466.1,"4incon"
"175",4,7.94605123164219,1,"cranberry","Colour","incon","Younger",2824.4,"4incon"
"176",4,7.72687409910402,1,"cloud","Colour","incon","Younger",2268.5,"4incon"
"177",4,8.61184861145762,1,"chalk","Colour","incon","Younger",5496.4,"4incon"
"178",4,7.98272357173585,1,"handbag","Size","incon","Younger",2929.9,"4incon"
"179",4,8.3645314026404,1,"cup","Size","incon","Younger",4292.1,"4incon"
"181",4,8.2754527855696,1,"highlighter","Colour","incon","Younger",3926.3,"4incon"
"182",4,8.22863073153715,1,"paper","Colour","incon","Younger",3746.7,"4incon"
"183",4,9.2954716493523,1,"lion","Colour","incon","Younger",10888.6,"4incon"
"184",4,8.05016114264866,1,"pencil","Size","incon","Younger",3134.3,"4incon"
"185",4,8.63836603074629,1,"theatre","Size","incon","Younger",5644.1,"4incon"
"186",4,8.090708716084,1,"lighter","Size","incon","Younger",3264,"4incon"
"187",4,8.16797608284666,1,"blackboard","Colour","incon","Younger",3526.2,"4incon"
"188",4,9.18770613946725,1,"bread","Colour","incon","Younger",9776.2,"4incon"
"189",4,9.22496293923082,1,"dove","Colour","incon","Younger",10147.3,"4incon"
"190",4,8.17925588209995,1,"stool","Size","incon","Younger",3566.2,"4incon"
"191",4,8.49150608448025,1,"chair","Size","incon","Younger",4873.2,"4incon"
"192",4,8.18118884531718,1,"box","Size","incon","Younger",3573.1,"4incon"
"193",5,7.09373679660758,1,"ham","Colour","cong","Younger",1204.4,"5cong"
"194",5,6.97662814326851,1,"blood","Colour","cong","Younger",1071.3,"5cong"
"195",5,7.24679564370906,1,"broccoli","Colour","cong","Younger",1403.6,"5cong"
"197",5,7.33732746243353,1,"orange","Size","cong","Younger",1536.6,"5cong"
"198",5,7.2471518071206,1,"mouth","Size","cong","Younger",1404.1,"5cong"
"199",5,7.44061632960874,1,"coffee","Colour","cong","Younger",1703.8,"5cong"
"200",5,7.53444209284181,1,"ketchup","Colour","cong","Younger",1871.4,"5cong"
"201",5,7.1074254741107,1,"rhino","Colour","cong","Younger",1221,"5cong"
"202",5,7.00723855746709,1,"wasp","Size","cong","Younger",1104.6,"5cong"
"203",5,7.44096842162576,1,"goose","Size","cong","Younger",1704.4,"5cong"
"204",5,7.30485213741979,1,"donkey","Size","cong","Younger",1487.5,"5cong"
"205",5,7.34955231633769,1,"sunflower","Colour","cong","Younger",1555.5,"5cong"
"206",5,7.50774496105583,1,"gin","Colour","cong","Younger",1822.1,"5cong"
"207",5,7.24793492039167,1,"grass","Colour","cong","Younger",1405.2,"5cong"
"208",5,7.99655289426186,1,"window","Size","cong","Younger",2970.7,"5cong"
"209",5,7.66790668832256,1,"pen","Size","cong","Younger",2138.6,"5cong"
"210",5,7.46043276677069,1,"mop","Size","cong","Younger",1737.9,"5cong"
"211",5,7.33888813383888,1,"snow","Colour","cong","Younger",1539,"5cong"
"212",5,7.64472793908211,1,"butter","Colour","cong","Younger",2089.6,"5cong"
"215",5,7.52634053821518,1,"doctor","Size","cong","Younger",1856.3,"5cong"
"216",5,7.64530204683877,1,"dancer","Size","cong","Younger",2090.8,"5cong"
"217",5,7.90879148930235,1,"rice","Colour","incon","Younger",2721.1,"5incon"
"218",5,7.68294316987829,1,"tar","Colour","incon","Younger",2171,"5incon"
"222",5,8.19913438230574,1,"football","Size","incon","Younger",3637.8,"5incon"
"223",5,7.45054457795352,1,"cranberry","Colour","incon","Younger",1720.8,"5incon"
"226",5,7.96297282199772,1,"handbag","Size","incon","Younger",2872.6,"5incon"
"229",5,7.90274627939996,1,"highlighter","Colour","incon","Younger",2704.7,"5incon"
"230",5,7.7714044395307,1,"paper","Colour","incon","Younger",2371.8,"5incon"
"231",5,8.09836925010508,1,"lion","Colour","incon","Younger",3289.1,"5incon"
"232",5,7.86526472667225,1,"pencil","Size","incon","Younger",2605.2,"5incon"
"237",5,7.81931483648039,1,"dove","Colour","incon","Younger",2488.2,"5incon"
"239",5,7.67526754149739,1,"chair","Size","incon","Younger",2154.4,"5incon"
"240",5,7.82536514042219,1,"box","Size","incon","Younger",2503.3,"5incon"
"241",6,7.41535570739243,1,"ham","Colour","cong","Younger",1661.3,"6cong"
"242",6,7.94679447611535,1,"blood","Colour","cong","Younger",2826.5,"6cong"
