participant,Item,Rule,Response,Trial,TrialType,accuracy,rt,Agegroup,Context,accuracy01
12,toy,OBJECT,toy,12,nonswitch,0,X,Younger,Dual,0
13,candle,ACTION,light,12,SingleNaming,0,X,Younger,Single,0
36,candle,ACTION,light,12,SingleNaming,0,X,Older,Single,0
45,pen,OBJECT,pen,12,SingleNaming,0,X,Younger,Single,0
45,candle,ACTION,light,12,SingleNaming,0,X,Younger,Single,0
54,candle,ACTION,light,12,SingleNaming,0,X,Older,Single,0
55,coat,ACTION,wear,12,SingleNaming,0,X,Younger,Single,0
58,trophy,OBJECT,trophy,12,SingleNaming,0,X,Younger,Single,0
74,candle,ACTION,light,12,SingleNaming,0,X,Older,Single,0
79,candle,ACTION,light,12,SingleNaming,0,X,Older,Single,0
83,candle,ACTION,light,12,SingleNaming,0,X,Older,Single,0
89,candle,ACTION,light,12,SingleNaming,0,X,Younger,Single,0
5,teeth,OBJECT,teeth,13,nonswitch,0,X,Younger,Dual,0
47,teeth,OBJECT,teeth,13,nonswitch,0,X,Younger,Dual,0
45,toy,OBJECT,toy,13,SingleNaming,0,X,Younger,Single,0
83,ladder,ACTION,climb,13,SingleNaming,0,X,Older,Single,0
95,candle,OBJECT,candle,14,switch,0,X,Older,Dual,0
28,cake,OBJECT,cake,14,SingleNaming,0,X,Older,Single,0
34,trophy,ACTION,win,14,SingleNaming,0,X,Older,Single,0
83,trophy,ACTION,win,14,SingleNaming,0,X,Older,Single,0
5,teeth,ACTION,brush,15,nonswitch,0,X,Younger,Dual,0
16,teeth,ACTION,brush,15,nonswitch,0,X,Younger,Dual,0
34,teeth,ACTION,brush,15,nonswitch,0,X,Older,Dual,0
47,teeth,ACTION,brush,15,nonswitch,0,X,Younger,Dual,0
67,teeth,ACTION,brush,15,nonswitch,0,X,Younger,Dual,0
3,cake,ACTION,bake,15,SingleNaming,0,X,Younger,Single,0
13,cup,OBJECT,cup,15,SingleNaming,0,X,Younger,Single,0
16,cake,ACTION,bake,15,SingleNaming,0,X,Younger,Single,0
19,cake,ACTION,bake,15,SingleNaming,0,X,Younger,Single,0
22,cake,ACTION,bake,15,SingleNaming,0,X,Younger,Single,0
28,teeth,OBJECT,teeth,15,SingleNaming,0,X,Older,Single,0
31,teeth,OBJECT,teeth,15,SingleNaming,0,X,Older,Single,0
42,cake,ACTION,bake,15,SingleNaming,0,X,Older,Single,0
45,cup,OBJECT,cup,15,SingleNaming,0,X,Younger,Single,0
47,cake,ACTION,bake,15,SingleNaming,0,X,Younger,Single,0
61,cake,ACTION,bake,15,SingleNaming,0,X,Younger,Single,0
78,cake,ACTION,bake,15,SingleNaming,0,X,Older,Single,0
89,cake,ACTION,bake,15,SingleNaming,0,X,Younger,Single,0
1,cake,ACTION,bake,16,switch,0,X,Younger,Dual,0
47,brain,OBJECT,brain,16,switch,0,X,Younger,Dual,0
53,cake,ACTION,bake,16,switch,0,X,Younger,Dual,0
82,cake,ACTION,bake,16,switch,0,X,Younger,Dual,0
91,cake,ACTION,bake,16,switch,0,X,Older,Dual,0
28,present,OBJECT,present,16,SingleNaming,0,X,Older,Single,0
47,newspaper,ACTION,read,16,SingleNaming,0,X,Younger,Single,0
85,newspaper,ACTION,read,16,SingleNaming,0,X,Older,Single,0
96,present,OBJECT,present,16,SingleNaming,0,X,Older,Single,0
9,teeth,ACTION,brush,17,nonswitch,0,X,Younger,Dual,0
15,teeth,ACTION,brush,17,nonswitch,0,X,Younger,Dual,0
21,teeth,ACTION,brush,17,nonswitch,0,X,Younger,Dual,0
