Task,participant,item,rule,Difficulty,TrialType,accuracy,rt,AgeGroup,rawrt
Bilingual,73,eye,L2,low,nonswitch,1,6.764231269,Younger,866.3
Bilingual,73,broom,L2,low,nonswitch,1,6.840867333,Younger,935.3
Bilingual,73,brain,L2,low,nonswitch,1,6.632396956,Younger,759.3
Bilingual,73,present,L2,low,nonswitch,1,6.546211358,Younger,696.6
Bilingual,73,brain,L2,low,nonswitch,1,6.727551478,Younger,835.1
Bilingual,73,coat,L2,low,nonswitch,1,6.919486202,Younger,1011.8
Bilingual,73,ladder,L2,low,nonswitch,1,6.747938578,Younger,852.3
Bilingual,73,newspaper,L2,low,nonswitch,1,6.625790167,Younger,754.3
Bilingual,73,soap,L2,low,nonswitch,1,6.725753671,Younger,833.6
Bilingual,73,coat,L2,low,nonswitch,1,6.625790167,Younger,754.3
Bilingual,73,toy,L2,low,nonswitch,1,7.011935098,Younger,1109.8
Bilingual,73,suitcase,L2,low,nonswitch,1,7.093902841,Younger,1204.6
Bilingual,73,horse,L2,low,nonswitch,1,6.917210438,Younger,1009.5
Bilingual,73,suitcase,L2,low,nonswitch,1,6.821543582,Younger,917.4
Bilingual,73,trophy,L2,low,nonswitch,1,6.781057626,Younger,881
Bilingual,73,broom,L2,low,nonswitch,1,7.178850548,Younger,1311.4
Bilingual,73,cake,L2,low,nonswitch,1,6.742290839,Younger,847.5
Bilingual,73,strawberry,L2,low,nonswitch,1,6.754837173,Younger,858.2
Bilingual,73,toy,L2,low,nonswitch,1,6.971856204,Younger,1066.2
Bilingual,73,present,L2,low,nonswitch,1,6.720581971,Younger,829.3
Bilingual,73,ladder,L2,low,nonswitch,1,6.599053839,Younger,734.4
Bilingual,73,pen,L2,low,nonswitch,1,6.99090086,Younger,1086.7
Bilingual,73,cup,L2,low,nonswitch,1,6.668101176,Younger,786.9
Bilingual,73,plane,L2,low,nonswitch,1,7.081708586,Younger,1190
Bilingual,73,candle,L2,low,nonswitch,1,6.69034526,Younger,804.6
Bilingual,73,eye,L2,low,nonswitch,1,6.800281421,Younger,898.1
Bilingual,73,teeth,L2,low,nonswitch,1,6.787055494,Younger,886.3
Bilingual,20,knife,L2,low,nonswitch,1,6.754837173,Younger,858.2
Bilingual,20,plane,L2,low,nonswitch,1,6.908754779,Younger,1001
Bilingual,20,cake,L2,low,nonswitch,1,7.076907162,Younger,1184.3
Bilingual,20,newspaper,L2,low,nonswitch,1,6.989519581,Younger,1085.2
Bilingual,20,teeth,L2,low,nonswitch,1,7.057897937,Younger,1162
Bilingual,20,pen,L2,low,nonswitch,1,6.827737571,Younger,923.1
Bilingual,20,soap,L2,low,nonswitch,1,7.037730355,Younger,1138.8
Bilingual,20,cup,L2,low,nonswitch,1,7.48678146,Younger,1784.3
Bilingual,20,horse,L2,low,nonswitch,1,7.547870813,Younger,1896.7
Bilingual,20,knife,L2,low,nonswitch,1,7.4020246,Younger,1639.3
Bilingual,20,candle,L2,low,nonswitch,1,7.502738211,Younger,1813
Bilingual,20,trophy,L2,low,nonswitch,1,7.350002231,Younger,1556.2
Bilingual,20,strawberry,L2,low,nonswitch,1,7.381875424,Younger,1606.6
Bilingual,20,eye,L2,low,nonswitch,1,6.963284589,Younger,1057.1
Bilingual,20,broom,L2,low,nonswitch,1,7.108407792,Younger,1222.2
Bilingual,20,brain,L2,low,nonswitch,1,6.991084887,Younger,1086.9
Bilingual,20,present,L2,low,nonswitch,1,7.003610765,Younger,1100.6
Bilingual,20,brain,L2,low,nonswitch,1,7.14921015,Younger,1273.1
Bilingual,20,coat,L2,low,nonswitch,1,7.081540505,Younger,1189.8
Bilingual,20,ladder,L2,low,nonswitch,1,6.972231298,Younger,1066.6
Bilingual,20,newspaper,L2,low,nonswitch,1,6.989703862,Younger,1085.4
Bilingual,20,soap,L2,low,nonswitch,1,6.929908084,Younger,1022.4
Bilingual,20,coat,L2,low,nonswitch,1,7.151171935,Younger,1275.6
Bilingual,20,toy,L2,low,nonswitch,1,7.209857874,Younger,1352.7
Bilingual,20,horse,L2,low,nonswitch,1,7.270660773,Younger,1437.5
Bilingual,20,suitcase,L2,low,nonswitch,1,7.12544398,Younger,1243.2
Bilingual,20,trophy,L2,low,nonswitch,1,7.236339343,Younger,1389
Bilingual,20,broom,L2,low,nonswitch,1,7.110206207,Younger,1224.4
Bilingual,20,cake,L2,low,nonswitch,1,7.100851909,Younger,1213
Bilingual,20,strawberry,L2,low,nonswitch,1,7.260873907,Younger,1423.5
Bilingual,20,present,L2,low,nonswitch,1,7.547870813,Younger,1896.7
Bilingual,20,ladder,L2,low,nonswitch,1,6.969602682,Younger,1063.8
Bilingual,20,pen,L2,low,nonswitch,1,7.261225092,Younger,1424
Bilingual,20,cup,L2,low,nonswitch,1,7.207044724,Younger,1348.9
Bilingual,20,plane,L2,low,nonswitch,1,6.886735912,Younger,979.2
Bilingual,20,candle,L2,low,nonswitch,1,7.050382677,Younger,1153.3
