"","participant","Item","Rule","Response","Trial","TrialType","accuracy","rt","Agegroup","Context","accuracy01","Rule_coded","Agegroup_coded","rawrt","condition"
"9959",1,"horse","OBJECT","horse",35,"SingleNaming",1,7.59880025145021,"Younger","Single",1,-0.5,-0.5,1995.8,"1SingleNamingOBJECT"
"10242",1,"brain","OBJECT","brain",36,"SingleNaming",1,7.09821033567281,"Younger","Single",1,-0.5,-0.5,1209.8,"1SingleNamingOBJECT"
"10524",1,"cup","OBJECT","cup",37,"SingleNaming",1,7.24029120706754,"Younger","Single",1,-0.5,-0.5,1394.5,"1SingleNamingOBJECT"
"10812",1,"pen","OBJECT","pen",38,"SingleNaming",1,7.46118051636695,"Younger","Single",1,-0.5,-0.5,1739.2,"1SingleNamingOBJECT"
"11096",1,"soap","OBJECT","soap",39,"SingleNaming",1,7.83367945982453,"Younger","Single",1,-0.5,-0.5,2524.2,"1SingleNamingOBJECT"
"11369",1,"broom","OBJECT","broom",40,"SingleNaming",1,6.70600622452208,"Younger","Single",1,-0.5,-0.5,817.3,"1SingleNamingOBJECT"
"645",1,"teeth","ACTION","brush",1,"SingleNaming",1,7.20985787409515,"Younger","Single",1,0.5,-0.5,1352.7,"1SingleNamingACTION"
"933",1,"strawberry","ACTION","eat",2,"SingleNaming",1,6.82045295057934,"Younger","Single",1,0.5,-0.5,916.4,"1SingleNamingACTION"
"1198",1,"cup","ACTION","drink",3,"SingleNaming",1,7.18174402430192,"Younger","Single",1,0.5,-0.5,1315.2,"1SingleNamingACTION"
"1470",1,"broom","ACTION","sweep",4,"SingleNaming",1,7.18546277028671,"Younger","Single",1,0.5,-0.5,1320.1,"1SingleNamingACTION"
"1745",1,"eye","ACTION","see",5,"SingleNaming",1,6.76975678082485,"Younger","Single",1,0.5,-0.5,871.1,"1SingleNamingACTION"
"2021",1,"present","ACTION","give",6,"SingleNaming",1,7.22737196996426,"Younger","Single",1,0.5,-0.5,1376.6,"1SingleNamingACTION"
"2296",1,"suitcase","ACTION","pack",7,"SingleNaming",1,6.94678366594962,"Younger","Single",1,0.5,-0.5,1039.8,"1SingleNamingACTION"
"2578",1,"candle","ACTION","light",8,"SingleNaming",1,6.78275878880745,"Younger","Single",1,0.5,-0.5,882.5,"1SingleNamingACTION"
"2850",1,"pen","ACTION","write",9,"SingleNaming",1,6.71768376872812,"Younger","Single",1,0.5,-0.5,826.9,"1SingleNamingACTION"
"3108",1,"toy","ACTION","play",10,"SingleNaming",1,7.3960898649126,"Younger","Single",1,0.5,-0.5,1629.6,"1SingleNamingACTION"
"3370",1,"horse","ACTION","ride",11,"SingleNaming",1,6.683235781488,"Younger","Single",1,0.5,-0.5,798.9,"1SingleNamingACTION"
"3637",1,"coat","ACTION","wear",12,"SingleNaming",1,6.78897174299217,"Younger","Single",1,0.5,-0.5,888,"1SingleNamingACTION"
"3907",1,"plane","ACTION","fly",13,"SingleNaming",1,6.65479664258874,"Younger","Single",1,0.5,-0.5,776.5,"1SingleNamingACTION"
"4189",1,"cake","ACTION","bake",14,"SingleNaming",1,7.27572618266272,"Younger","Single",1,0.5,-0.5,1444.8,"1SingleNamingACTION"
"4451",1,"ladder","ACTION","climb",15,"SingleNaming",1,6.5738198220129,"Younger","Single",1,0.5,-0.5,716.1,"1SingleNamingACTION"
"4698",1,"knife","ACTION","cut",16,"SingleNaming",1,7.50494206839617,"Younger","Single",1,0.5,-0.5,1817,"1SingleNamingACTION"
"4975",1,"soap","ACTION","wash",17,"SingleNaming",1,6.87295677343944,"Younger","Single",1,0.5,-0.5,965.8,"1SingleNamingACTION"
"5252",1,"newspaper","ACTION","read",18,"SingleNaming",1,6.85467090788968,"Younger","Single",1,0.5,-0.5,948.3,"1SingleNamingACTION"
"5532",1,"brain","ACTION","think",19,"SingleNaming",1,6.68273496765507,"Younger","Single",1,0.5,-0.5,798.5,"1SingleNamingACTION"
"5805",1,"trophy","ACTION","win",20,"SingleNaming",1,6.57577294763378,"Younger","Single",1,0.5,-0.5,717.5,"1SingleNamingACTION"
"6069",1,"knife","ACTION","cut",21,"SingleNaming",1,6.89254011317566,"Younger","Single",1,0.5,-0.5,984.9,"1SingleNamingACTION"
"6349",1,"strawberry","ACTION","eat",22,"SingleNaming",1,6.79525824775499,"Younger","Single",1,0.5,-0.5,893.6,"1SingleNamingACTION"
"6621",1,"cup","ACTION","drink",23,"SingleNaming",1,7.25290405108225,"Younger","Single",1,0.5,-0.5,1412.2,"1SingleNamingACTION"
"6903",1,"brain","ACTION","think",24,"SingleNaming",1,6.98628915663624,"Younger","Single",1,0.5,-0.5,1081.7,"1SingleNamingACTION"
"7188",1,"eye","ACTION","see",25,"SingleNaming",1,6.9987835773297,"Younger","Single",1,0.5,-0.5,1095.3,"1SingleNamingACTION"
"7466",1,"ladder","ACTION","climb",26,"SingleNaming",1,6.91899191090813,"Younger","Single",1,0.5,-0.5,1011.3,"1SingleNamingACTION"
"7748",1,"suitcase","ACTION","pack",27,"SingleNaming",1,7.01965437147955,"Younger","Single",1,0.5,-0.5,1118.4,"1SingleNamingACTION"
"8026",1,"teeth","ACTION","brush",28,"SingleNaming",1,7.44530072744751,"Younger","Single",1,0.5,-0.5,1711.8,"1SingleNamingACTION"
"8296",1,"pen","ACTION","write",29,"SingleNaming",1,7.51898716634081,"Younger","Single",1,0.5,-0.5,1842.7,"1SingleNamingACTION"
"8573",1,"toy","ACTION","play",30,"SingleNaming",1,7.26290906654893,"Younger","Single",1,0.5,-0.5,1426.4,"1SingleNamingACTION"
"8849",1,"horse","ACTION","ride",31,"SingleNaming",1,7.13680137594896,"Younger","Single",1,0.5,-0.5,1257.4,"1SingleNamingACTION"
"9124",1,"coat","ACTION","wear",32,"SingleNaming",1,6.9418668086109,"Younger","Single",1,0.5,-0.5,1034.7,"1SingleNamingACTION"
"9404",1,"plane","ACTION","fly",33,"SingleNaming",1,6.95949347438655,"Younger","Single",1,0.5,-0.5,1053.1,"1SingleNamingACTION"
"9958",1,"candle","ACTION","light",35,"SingleNaming",1,7.27931883541462,"Younger","Single",1,0.5,-0.5,1450,"1SingleNamingACTION"
"10241",1,"broom","ACTION","sweep",36,"SingleNaming",1,6.96508034560141,"Younger","Single",1,0.5,-0.5,1059,"1SingleNamingACTION"
"10523",1,"soap","ACTION","wash",37,"SingleNaming",1,7.00922824791277,"Younger","Single",1,0.5,-0.5,1106.8,"1SingleNamingACTION"
"10811",1,"newspaper","ACTION","read",38,"SingleNaming",1,6.9918206540998,"Younger","Single",1,0.5,-0.5,1087.7,"1SingleNamingACTION"
"11095",1,"present","ACTION","give",39,"SingleNaming",1,7.68358782616069,"Younger","Single",1,0.5,-0.5,2172.4,"1SingleNamingACTION"
"646",2,"broom","OBJECT","broom",1,"SingleNaming",1,7.2258453076053,"Younger","Single",1,-0.5,-0.5,1374.5,"2SingleNamingOBJECT"
"935",2,"candle","OBJECT","candle",2,"SingleNaming",1,6.68373634463197,"Younger","Single",1,-0.5,-0.5,799.3,"2SingleNamingOBJECT"
"1199",2,"suitcase","OBJECT","suitcase",3,"SingleNaming",1,6.79972453476843,"Younger","Single",1,-0.5,-0.5,897.6,"2SingleNamingOBJECT"
"1473",2,"horse","OBJECT","horse",4,"SingleNaming",1,6.61820479547033,"Younger","Single",1,-0.5,-0.5,748.6,"2SingleNamingOBJECT"
"1747",2,"soap","OBJECT","soap",5,"SingleNaming",1,6.74875954749168,"Younger","Single",1,-0.5,-0.5,853,"2SingleNamingOBJECT"
"2023",2,"pen","OBJECT","pen",6,"SingleNaming",1,6.64600082854027,"Younger","Single",1,-0.5,-0.5,769.7,"2SingleNamingOBJECT"
"2298",2,"newspaper","OBJECT","newspaper",7,"SingleNaming",1,6.71949612952143,"Younger","Single",1,-0.5,-0.5,828.4,"2SingleNamingOBJECT"
"2580",2,"cup","OBJECT","cup",8,"SingleNaming",1,6.60988818147199,"Younger","Single",1,-0.5,-0.5,742.4,"2SingleNamingOBJECT"
"2852",2,"knife","OBJECT","knife",9,"SingleNaming",1,6.55478773983173,"Younger","Single",1,-0.5,-0.5,702.6,"2SingleNamingOBJECT"
"3110",2,"coat","OBJECT","coat",10,"SingleNaming",1,6.84481547920826,"Younger","Single",1,-0.5,-0.5,939,"2SingleNamingOBJECT"
"3372",2,"strawberry","OBJECT","strawberry",11,"SingleNaming",1,6.66057514983969,"Younger","Single",1,-0.5,-0.5,781,"2SingleNamingOBJECT"
"3909",2,"eye","OBJECT","eye",13,"SingleNaming",1,6.70122299347312,"Younger","Single",1,-0.5,-0.5,813.4,"2SingleNamingOBJECT"
"4191",2,"cake","OBJECT","cake",14,"SingleNaming",1,6.74875954749168,"Younger","Single",1,-0.5,-0.5,853,"2SingleNamingOBJECT"
"4453",2,"teeth","OBJECT","teeth",15,"SingleNaming",1,6.60665018619822,"Younger","Single",1,-0.5,-0.5,740,"2SingleNamingOBJECT"
"4699",2,"present","OBJECT","present",16,"SingleNaming",1,6.66517403377545,"Younger","Single",1,-0.5,-0.5,784.6,"2SingleNamingOBJECT"
"4976",2,"brain","OBJECT","brain",17,"SingleNaming",1,6.53712628570943,"Younger","Single",1,-0.5,-0.5,690.3,"2SingleNamingOBJECT"
"5255",2,"toy","OBJECT","toy",18,"SingleNaming",1,7.01867033955329,"Younger","Single",1,-0.5,-0.5,1117.3,"2SingleNamingOBJECT"
